Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
1,0.800852275,0.010142234,0.514713477,-1.709249745,0.458761422,-0.096952579,-0.037631926,-0.797350159,-0.55179816,-0.45314029
0,-0.066087684,-1.274405328,0.18652141,-1.143059963,-0.762510181,-0.539139526,-0.801573823,-0.585855914,-0.365173386,0.208352928
1,-0.306666282,-3.119888981,0.991948401,-1.614555883,0.24103131,-0.934952346,-1.002494678,-0.595322137,-0.180144394,-0.361266232
0,0.221119639,1.421892076,-1.211540157,-1.295658472,-0.705696838,0.699754174,-1.262832119,-0.615016992,-0.30232859,-0.56338916
0,-0.240961146,0.635132662,0.936294911,-1.483929033,0.862643873,1.817018019,1.645826492,0.952341837,-0.18064091,0.311251873
0,-0.861884259,-0.196375206,-0.043881792,0.619786276,-1.039303932,0.342338842,1.162709785,-0.771133741,-0.160341246,-0.600138783
0,-0.789487221,2.695441642,0.911664781,-1.011481756,0.142034741,2.097834797,0.14365541,1.206917447,0.126748582,0.463762809
0,0.458864804,0.219802344,0.704879025,1.933502843,0.249783612,-0.049792001,1.210578098,-0.737495026,0.197491549,0.763272238
1,-0.115045808,0.699147537,-2.669236186,-0.30343654,0.868826352,-0.034880658,-0.908593424,0.355123582,-0.717140812,-0.058081841
0,-0.443356752,0.043900981,0.182343911,1.072586825,0.709693709,-0.809102363,-1.100796612,0.327851614,0.175911607,1.018682119
1,0.550515967,-0.320046394,-0.048076257,-1.334650675,0.857206783,0.265905565,-1.21332097,-0.557755135,-0.51865026,0.998469827
0,0.247346677,0.56158129,-0.105282431,-0.641098611,-0.49537171,1.115317569,0.614227981,-1.55812343,1.087603246,-0.315329203
1,0.128215452,-0.051476701,0.823877827,-1.008921825,-0.703669011,1.396411486,0.993614418,-0.142406703,0.05627454,-0.210194631
1,0.639610467,-0.099658895,-0.837288918,-0.358669202,0.723616234,0.012989928,-0.140640219,-0.244772307,-0.54909942,0.662916886
1,0.568640363,0.31383771,-1.22490806,0.018062494,0.888355431,-0.607107482,-1.057306409,-0.01528578,-0.828025941,-0.066814158
1,0.55280819,1.228617514,0.975590107,-1.268185006,0.780013046,0.54670404,-0.018102592,-0.319473029,-0.52348581,-0.395015667
1,1.12048241,0.193447938,0.599286431,-0.282770151,0.752091298,0.310050398,-0.605291236,-0.261202763,-0.457986503,0.183037534
1,0.229910319,0.142409607,0.253020469,-0.981639737,-0.595860569,-0.131802532,-0.287644434,-1.150010441,-0.0590331,-0.358373444
1,1.116188838,0.162845659,0.636879112,-0.216134784,0.8034712,0.357001383,-0.585585124,-0.262530107,-0.41628084,0.19620568
1,-0.482814388,0.099703914,0.922532011,-0.160057454,0.311332432,-0.117839679,-0.366862317,-0.858515007,-0.638742067,-1.047091581
1,0.97075724,0.193615605,0.97654747,-0.088927681,0.041409205,-0.380990531,-0.922259253,0.169802184,-0.532387536,0.019799765
1,0.935510248,0.146509098,1.106600935,0.050785175,-0.015357536,-0.440823243,-0.952521466,0.250182689,-0.482374143,0.00886599
1,0.617898372,-0.773997665,0.24285933,-0.627259446,-0.171864556,-0.387099926,0.830629571,0.149531205,-0.194021088,1.03442418
1,0.802555072,0.557916046,0.235409463,-1.473784369,0.130548824,1.019437364,-0.429079408,-0.153454884,0.151499937,0.032132331
1,1.075021603,0.370340987,0.38582848,-0.832253648,0.374146176,-0.121346115,-0.788203974,-0.218824934,-0.762467628,0.106891126
1,1.497969154,0.12233766,0.575132738,0.127449444,1.333801843,-0.812614982,-1.21112975,0.055432225,-0.759900448,0.887474245
1,0.683217396,-0.572804079,0.816055739,-0.486342209,-0.104087183,-0.430573917,0.091464553,0.186405505,-0.028482052,1.090019222
1,0.617742086,-0.779192703,0.60638192,-0.714814801,-0.725316757,0.020154038,1.073124973,0.128532892,-0.198464799,1.150210199
1,0.941574937,0.03053033,-0.622723902,-0.129475778,1.205015625,-0.794152104,-1.065377813,0.157416469,-0.315082393,0.307101444
1,-0.591509362,0.142363897,0.499328099,-0.234579872,0.219509815,-0.088859258,-0.149189944,-0.546387679,-0.542310544,-0.74222911
1,-1.506538079,-0.11484766,1.469045987,0.253584111,0.452586765,0.126025691,0.565449759,-0.276941838,-0.34538453,0.054816347
1,0.372648288,0.230678298,-2.592869475,-0.020981126,0.63741072,-0.40669813,-0.894187359,0.43733675,-0.646178991,0.197750008
1,1.267588157,-0.225290722,-1.453845482,0.520464521,0.935659556,-0.958093461,-0.880446913,0.353952609,-0.709865108,0.385898654
